price,km,previous_owners,nr_of_doors,nr_of_seats,cylinders,gears,displacement_cc,age_years,hp_kw,warranty_months,weight_kg,combined_l_per_100km,city_l_per_100km,country_l_per_100km,emissions_g_co2/km,next_inspection_yyyymm,make_model_audi_a3,make_model_opel_astra,make_model_opel_corsa,make_model_opel_insignia,make_model_renault_clio,make_model_renault_duster,make_model_renault_espace,body_type_convertible,body_type_coupe,body_type_off_road,body_type_sedans,body_type_station_wagon,body_type_transporter,body_type_van,vat_vat_deductible,vat_vat_nondeductible,inspection_new_yes,body_color_black,body_color_blue,body_color_bronze,body_color_brown,body_color_gold,body_color_green,body_color_grey,body_color_orange,body_color_red,body_color_silver,body_color_violet,body_color_white,body_color_yellow,paint_type_perl_effect,paint_type_uni/basic,gearing_type_manual,gearing_type_semi_automatic,drive_chain_front,drive_chain_rear,fuel_diesel,fuel_electric,fuel_lpg/cng,emission_class_euro_5,emission_class_euro_6,condition_employee's_car,condition_new,condition_pre_registered,condition_used,upholstery_type_full_leather,upholstery_type_part_leather,upholstery_type_velour,upholstery_type_alcantara,upholstery_color_black,upholstery_color_blue,upholstery_color_brown,upholstery_color_grey,upholstery_color_orange,upholstery_color_red,upholstery_color_white,upholstery_color_yellow,comfort_convenience_air_conditioning,comfort_convenience_armrest,comfort_convenience_automatic_climate_control,comfort_convenience_auxiliary_heating,comfort_convenience_cruise_control,comfort_convenience_electric_tailgate,comfort_convenience_electrical_side_mirrors,comfort_convenience_electrically_adjustable_seats,comfort_convenience_electrically_heated_windshield,comfort_convenience_heads_up_display,comfort_convenience_heated_steering_wheel,comfort_convenience_hill_holder,comfort_convenience_keyless_central_door_lock,comfort_convenience_leather_steering_wheel,comfort_convenience_light_sensor,comfort_convenience_lumbar_support,comfort_convenience_massage_seats,comfort_convenience_multi_function_steering_wheel,comfort_convenience_navigation_system,comfort_convenience_panorama_roof,comfort_convenience_park_distance_control,comfort_convenience_parking_assist_system_camera,comfort_convenience_parking_assist_system_self_steering,comfort_convenience_parking_assist_system_sensors_front,comfort_convenience_parking_assist_system_sensors_rear,comfort_convenience_power_windows,comfort_convenience_rain_sensor,comfort_convenience_seat_heating,comfort_convenience_seat_ventilation,comfort_convenience_split_rear_seats,comfort_convenience_start_stop_system,comfort_convenience_sunroof,comfort_convenience_tinted_windows,extras_alloy_wheels,extras_cab_or_rented_car,extras_catalytic_converter,extras_roof_rack,extras_shift_paddles,extras_ski_bag,extras_sport_package,extras_sport_seats,extras_sport_suspension,extras_touch_screen,extras_trailer_hitch,extras_voice_control,extras_winter_tyres,safety_security_abs,safety_security_adaptive_cruise_control,safety_security_adaptive_headlights,safety_security_alarm_system,safety_security_blind_spot_monitor,safety_security_central_door_lock,safety_security_central_door_lock_with_remote_control,safety_security_daytime_running_lights,safety_security_driver_drowsiness_detection,safety_security_driver_side_airbag,safety_security_electronic_stability_control,safety_security_emergency_brake_assistant,safety_security_emergency_system,safety_security_fog_lights,safety_security_head_airbag,safety_security_immobilizer,safety_security_isofix,safety_security_led_daytime_running_lights,safety_security_led_headlights,safety_security_lane_departure_warning_system,safety_security_night_view_assist,safety_security_passenger_side_airbag,safety_security_power_steering,safety_security_rear_airbag,safety_security_side_airbag,safety_security_tire_pressure_monitoring_system,safety_security_traction_control,safety_security_traffic_sign_recognition,safety_security_xenon_headlights,entertainment_media_bluetooth,entertainment_media_cd_player,entertainment_media_digital_radio,entertainment_media_hands_free_equipment,entertainment_media_mp3,entertainment_media_on_board_computer,entertainment_media_radio,entertainment_media_sound_system,entertainment_media_usb
15770.0,56013.0,2.0,5.0,5.0,3.0,7.0,1422.0,3.0,66.0,0.0,1220.0,3.8,4.3,3.5,99.0,202106.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0
14500.0,80000.0,1.0,3.0,4.0,4.0,7.0,1798.0,2.0,141.0,0.0,1255.0,5.6,7.1,4.7,129.0,202103.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0
14640.0,83450.0,1.0,4.0,4.0,3.0,7.0,1598.0,3.0,85.0,0.0,1166.0,3.8,4.4,3.4,99.0,202002.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
14500.0,73000.0,1.0,3.0,4.0,3.0,6.0,1422.0,3.0,66.0,0.0,1195.0,3.8,4.3,3.5,99.0,202008.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1
16790.0,16200.0,1.0,5.0,5.0,3.0,7.0,1422.0,3.0,66.0,0.0,1215.0,4.1,4.6,3.8,109.0,202005.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1
15090.0,63668.0,1.0,4.0,5.0,3.0,7.0,1598.0,3.0,85.0,0.0,1166.0,3.5,4.3,3.1,92.0,202002.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1
16422.0,62111.0,1.0,4.0,5.0,4.0,7.0,1598.0,3.0,85.0,0.0,1205.0,3.7,4.3,3.4,98.0,202003.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1
14480.0,14986.0,1.0,5.0,5.0,3.0,7.0,1422.0,3.0,66.0,0.0,1180.0,3.7,4.2,3.4,97.0,202002.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0
16700.0,57000.0,1.0,5.0,4.0,4.0,7.0,1598.0,3.0,85.0,12.0,1275.0,3.7,4.3,3.4,97.0,202002.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
17990.0,16103.0,1.0,5.0,4.0,3.0,7.0,999.0,2.0,70.0,3.0,1215.0,4.35,5.0,3.7,98.0,202106.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0
