make_model,body_type,price,vat,km,previous_owners,next_inspection,inspection_new,body_color,paint_type,nr_of_doors,nr_of_seats,gearing_type,cylinders,drive_chain,fuel,emission_class,comfort_convenience,entertainment_media,extras,safety_security,gears,displacement_cc,age_years,first_registered_month,hp_kw,condition,warranty_months,upholstery_type,upholstery_color,weight_kg,combined_l_per_100km,city_l_per_100km,country_l_per_100km,emissions_g_co2/km
Audi A1,Sedans,15770,VAT deductible,56013.0,2,2021-06,Yes,Black,metallic,5,5,Automatic,3,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,Hands-free equipment,On-board computer,Radio","Alloy wheels,Catalytic Converter,Voice Control","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",,1422.0,3,1.0,66.0,Used,,Cloth,Black,1220.0,3.8,4.3,3.5,99.0
Audi A1,Sedans,14500,Price negotiable,80000.0,,,,Red,,3,4,Automatic,4,front,Benzine,Euro 6,"Air conditioning,Automatic climate control,Hill Holder,Leather steering wheel,Lumbar support,Parking assist system sensors rear,Power windows,Start-stop system,Tinted windows","Bluetooth,Hands-free equipment,On-board computer,Radio,Sound system","Alloy wheels,Sport seats,Sport suspension,Voice Control","ABS,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",7,1798.0,2,3.0,141.0,Used,,Cloth,Grey,1255.0,5.6,7.1,4.7,129.0
Audi A1,Sedans,14640,VAT deductible,83450.0,1,,,Black,metallic,4,4,Automatic,,front,Diesel,Euro 6,"Air conditioning,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","MP3,On-board computer","Alloy wheels,Voice Control","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",,1598.0,3,2.0,85.0,Used,,Cloth,Black,,3.8,4.4,3.4,99.0
Audi A1,Sedans,14500,,73000.0,1,,,Brown,metallic,3,4,Automatic,3,,Diesel,Euro 6,"Air suspension,Armrest,Auxiliary heating,Electrical side mirrors,Heads-up display,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,Sound system,USB","Alloy wheels,Sport seats,Voice Control","ABS,Alarm system,Central door lock with remote control,Driver drowsiness detection,Driver-side airbag,Electronic stability control,Emergency system,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system",6,1422.0,3,8.0,66.0,Used,,,,1195.0,3.8,4.3,3.5,99.0
Audi A1,Sedans,16790,,16200.0,1,,Yes,Black,metallic,5,5,Automatic,3,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Sport package,Sport suspension,Voice Control","ABS,Central door lock,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",,1422.0,3,5.0,66.0,Used,,Cloth,Black,,4.1,4.6,3.8,109.0
Audi A1,Sedans,15090,,63668.0,1,,,White,metallic,4,5,Automatic,,,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Electrical side mirrors,Hill Holder,Keyless central door lock,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,Hands-free equipment,On-board computer,Radio,Sound system,USB","Alloy wheels,Sport package,Sport seats,Sport suspension","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",,1598.0,3,2.0,85.0,Used,,Part leather,Black,,3.5,4.3,3.1,92.0
Audi A1,Station wagon,16422,VAT deductible,62111.0,1,,Yes,White,metallic,4,5,Automatic,4,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio,Sound system,USB","Alloy wheels,Sport package,Sport seats,Sport suspension","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Xenon headlights",,1598.0,3,3.0,85.0,Used,,Part leather,Black,,3.7,4.3,3.4,98.0
Audi A1,Compact,14480,VAT deductible,14986.0,1,,Yes,Red,metallic,5,5,Automatic,,front,Diesel,Euro 6,"Air conditioning,Armrest,Electrical side mirrors,Light sensor,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","CD player,MP3,Radio",Alloy wheels,"ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",7,1422.0,3,2.0,66.0,Used,,Cloth,Black,,3.7,4.2,3.4,97.0
Audi A1,Sedans,16700,,57000.0,1,2020-02,,Grey,metallic,5,4,Automatic,4,front,Diesel,Euro 6,"Air conditioning,Power windows",Radio,Alloy wheels,"ABS,Central door lock,Driver-side airbag,Electronic stability control,Immobilizer,Passenger-side airbag,Power steering,Side airbag,Traction control",7,1598.0,3,2.0,85.0,Used,12,Cloth,Grey,1275.0,3.7,4.3,3.4,97.0
Audi A1,Sedans,17990,,16103.0,,,,White,,5,4,Automatic,,,Benzine,,,,,,7,999.0,2,6.0,70.0,Used,3,,,,,,,
Audi A1,Sedans,18500,VAT deductible,11300.0,,,,Black,metallic,3,4,Automatic,4,front,Diesel,Euro 6,"Air conditioning,Multi-function steering wheel,Power windows","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Shift paddles","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,LED Headlights,Passenger-side airbag,Power steering,Side airbag,Traction control,Xenon headlights",7,1598.0,1,5.0,85.0,Used,,Cloth,Black,1250.0,4.0,4.6,3.6,105.0
Audi A1,Sedans,17990,,26415.0,1,,Yes,Silver,uni/basic,4,,Automatic,4,front,Benzine,Euro 6,"Air conditioning,Automatic climate control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","CD player,Hands-free equipment,On-board computer,Radio,USB","Alloy wheels,Sport seats","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Traction control,Xenon headlights",,1395.0,3,5.0,92.0,Used,,Cloth,Black,,4.9,6.2,4.2,112.0
Audi A1,Sedans,18380,,31600.0,1,2019-09,,White,metallic,5,5,Automatic,4,front,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Catalytic Converter,Sport package,Sport seats,Sport suspension,Voice Control","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",,1395.0,3,9.0,92.0,Used,,Part leather,Black,,4.9,6.2,4.2,112.0
Audi A1,Sedans,18399,,45764.0,,,,Grey,,3,4,Automatic,,,Benzine,,"Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Power windows,Rain sensor,Split rear seats","Bluetooth,On-board computer,Radio","Alloy wheels,Sport seats,Sport suspension","ABS,Adaptive headlights,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Side airbag,Traction control,Xenon headlights",,1395.0,3,6.0,112.0,Used,12,,,,,,,
Audi A1,Sedans,17990,VAT deductible,34914.0,1,2019-10,,Black,metallic,5,4,Automatic,3,front,Benzine,Euro 6,"Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio","Alloy wheels,Sport seats,Sport suspension","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",7,999.0,3,10.0,70.0,Used,,Cloth,Black,1135.0,4.2,5.0,3.7,99.0
