make_model,body_type,price,vat,km,previous_owners,next_inspection,inspection_new,body_color,paint_type,nr_of_doors,nr_of_seats,gearing_type,cylinders,drive_chain,fuel,emission_class,comfort_convenience,entertainment_media,extras,safety_security,gears,displacement_cc,age_years,hp_kw,condition,warranty_months,upholstery_type,upholstery_color,weight_kg,combined_l_per_100km,city_l_per_100km,country_l_per_100km,emissions_g_co2/km
Audi A1,Sedans,15770,VAT deductible,56013.0,2.0,2021-06,Yes,Black,metallic,5.0,5.0,Automatic,3.0,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,Hands-free equipment,On-board computer,Radio","Alloy wheels,Catalytic Converter,Voice Control","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",7.0,1422.0,3.0,66.0,Used,0.0,Cloth,Black,1220.0,3.8,4.3,3.5,99.0
Audi A1,Sedans,14500,Price negotiable,80000.0,1.0,2021-03,No,Red,metallic,3.0,4.0,Automatic,4.0,front,Benzine,Euro 6,"Air conditioning,Automatic climate control,Hill Holder,Leather steering wheel,Lumbar support,Parking assist system sensors rear,Power windows,Start-stop system,Tinted windows","Bluetooth,Hands-free equipment,On-board computer,Radio,Sound system","Alloy wheels,Sport seats,Sport suspension,Voice Control","ABS,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",7.0,1798.0,2.0,141.0,Used,0.0,Cloth,Grey,1255.0,5.6,7.1,4.7,129.0
Audi A1,Sedans,14640,VAT deductible,83450.0,1.0,2020-02,No,Black,metallic,4.0,4.0,Automatic,3.0,front,Diesel,Euro 6,"Air conditioning,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system","MP3,On-board computer","Alloy wheels,Voice Control","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",7.0,1598.0,3.0,85.0,Used,0.0,Cloth,Black,1166.0,3.8,4.4,3.4,99.0
Audi A1,Sedans,14500,VAT nondeductible,73000.0,1.0,2020-08,No,Brown,metallic,3.0,4.0,Automatic,3.0,front,Diesel,Euro 6,"Air suspension,Armrest,Auxiliary heating,Electrical side mirrors,Heads-up display,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,Sound system,USB","Alloy wheels,Sport seats,Voice Control","ABS,Alarm system,Central door lock with remote control,Driver drowsiness detection,Driver-side airbag,Electronic stability control,Emergency system,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system",6.0,1422.0,3.0,66.0,Used,0.0,Cloth,Black,1195.0,3.8,4.3,3.5,99.0
Audi A1,Sedans,16790,VAT nondeductible,16200.0,1.0,2020-05,Yes,Black,metallic,5.0,5.0,Automatic,3.0,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Sport package,Sport suspension,Voice Control","ABS,Central door lock,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",7.0,1422.0,3.0,66.0,Used,0.0,Cloth,Black,1215.0,4.1,4.6,3.8,109.0
Audi A1,Sedans,15090,VAT nondeductible,63668.0,1.0,2020-02,No,White,metallic,4.0,5.0,Automatic,3.0,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Electrical side mirrors,Hill Holder,Keyless central door lock,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,Hands-free equipment,On-board computer,Radio,Sound system,USB","Alloy wheels,Sport package,Sport seats,Sport suspension","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",7.0,1598.0,3.0,85.0,Used,0.0,Part leather,Black,1166.0,3.5,4.3,3.1,92.0
Audi A1,Station wagon,16422,VAT deductible,62111.0,1.0,2020-03,Yes,White,metallic,4.0,5.0,Automatic,4.0,front,Diesel,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio,Sound system,USB","Alloy wheels,Sport package,Sport seats,Sport suspension","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Xenon headlights",7.0,1598.0,3.0,85.0,Used,0.0,Part leather,Black,1205.0,3.7,4.3,3.4,98.0
Audi A1,Compact,14480,VAT deductible,14986.0,1.0,2020-02,Yes,Red,metallic,5.0,5.0,Automatic,3.0,front,Diesel,Euro 6,"Air conditioning,Armrest,Electrical side mirrors,Light sensor,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","CD player,MP3,Radio",Alloy wheels,"ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control",7.0,1422.0,3.0,66.0,Used,0.0,Cloth,Black,1180.0,3.7,4.2,3.4,97.0
Audi A1,Sedans,16700,VAT nondeductible,57000.0,1.0,2020-02,No,Grey,metallic,5.0,4.0,Automatic,4.0,front,Diesel,Euro 6,"Air conditioning,Power windows",Radio,Alloy wheels,"ABS,Central door lock,Driver-side airbag,Electronic stability control,Immobilizer,Passenger-side airbag,Power steering,Side airbag,Traction control",7.0,1598.0,3.0,85.0,Used,12.0,Cloth,Grey,1275.0,3.7,4.3,3.4,97.0
Audi A1,Sedans,17990,VAT nondeductible,16103.0,1.0,2021-06,No,White,metallic,5.0,4.0,Automatic,3.0,front,Benzine,Euro 6,"Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Light sensor,Multi-function steering wheel,Power windows,Rain sensor,Split rear seats","Bluetooth,On-board computer,Radio","Alloy wheels,Sport seats","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Side airbag,Traction control,Xenon headlights",7.0,999.0,2.0,70.0,Used,3.0,Cloth,Black,1215.0,4.35,5.0,3.7,98.0
